"year","school_id","school_name","school_address","school_city","school_state","school_district","website","nces_id","school_type","school_locale","locale_rural","locale_suburban","locale_urban","school_enrollment","pct_aian","pct_asian","pct_bipoc","pct_black","pct_latinx","pct_multiple","pct_nhpi","pct_white","pct_ell","pct_frpl","pct_swd","school_desc_homeschool","school_desc_hybrid","school_desc_micro","school_desc_sws","school_desc_virtual","school_desc_other","school_desc_other_text","school_description","school_desc_magnet","school_desc_title_i","teaching_diversity","leadership_diversity","leader_gender","leader_race","leader_tenure","grades_pk","grades_elementary","grades_middle","grades_high","grades_k","grades_1","grades_2","grades_3","grades_4","grades_5","grades_6","grades_7","grades_8","grades_9","grades_10","grades_11","grades_12","grades_past_12","grades_other","grades_other_text","average_ela","average_math","focus_bipoc","focus_economic_disadvantage","focus_emergent_bilingual","focus_foster","focus_homeless","focus_interrupted","focus_juvenile_justice","focus_multilingual","focus_newcomer","focus_swd","focus_other","focus_other_text","inclusive_emergent_bilingual","inclusive_juvenile_justice","inclusive_newcomer","inclusive_swd","inclusive_other","inclusive_other_text","leaps_affirmation","leaps_anytime_anywhere","leaps_connection","leaps_customization","leaps_high_expectations","leaps_relevance","leaps_rigorous_learning","leaps_self_direction","leaps_social_consciousness","leaps_whole_child","leaps_rank_affirmation","leaps_rank_anytime_anywhere","leaps_rank_connection","leaps_rank_customization","leaps_rank_high_expectations","leaps_rank_relevance","leaps_rank_rigorous_learning","leaps_rank_self_direction","leaps_rank_social_consciousness","leaps_rank_whole_child","catalyst_covid","catalyst_cutting_edge","catalyst_demographics","catalyst_external","catalyst_inequities","catalyst_internal","catalyst_stakeholders","catalyst_student_agency","catalyst_teacher_agency","catalyst_other","catalyst_other_text","catalyst_key_covid","catalyst_key_cutting_edge","catalyst_key_demographics","catalyst_key_external","catalyst_key_inequities","catalyst_key_internal","catalyst_key_stakeholders","catalyst_key_student_agency","catalyst_key_teacher_agency","catalyst_key_other","suggested_tags","tag_eval","contact_email","contact_name","contact_role","respondent_email","respondent_name","respondent_role","nominator"
2019,19,"Barrington Middle School",NA,"Barrington","Rhode Island","Barrington Public School","","440003000002","Public district school","Suburban",0,1,0,792,0,0.05,0.13,0.01,0.03,0.04,0,0.87,0,0.06,0.1,NA,NA,NA,0,NA,NA,NA,"Barrington Middle School's core purpose is to empower all students to excel by embracing deeper learning competencies of collaboration, creating, critical thinking, communicating, reflecting, and developing a strong academic mindset. Adopting these principles will ensure our students are ready to go into high school, graduate, and compete on the global market as productive and positive citizens. In particular, BMS embraces Deeper Learning through project-based learning and experiential learning. ",NA,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,NA,NA,NA,NA,NA,NA,"Highlander Institute"
2019,23,"Booneville High School",NA,"Booneville","Mississippi","Booneville School District","","280082001024","Public district school","Rural",1,0,0,365,0,0.01,0.24,0.19,0.02,0.02,0,0.76,0,0.5,0.11,NA,1,NA,0,NA,NA,NA,"College preparatory",0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enriched classroom model, where in-class instruction is supported through online and offline resources (e.g., video instruction; live, virtual tutoring; other online resources; and in-person preparatory programs at local universities)",4,NA,NA,NA,NA,NA,NA,"Global Teaching Project"
2019,24,"Boston Day and Evening Academy","20 Kearsarge Ave","Boston","Massachusetts","Boston Day and Evening Academy Charter","http://bacademy.org","250004901245","Public charter school","Urban",0,0,1,404,0.01,0.02,0.95,0.48,0.4,0.03,0,0.05,NA,0,NA,0,0,0,0,0,NA,NA,"An alternative public charter high school located in Roxbury, Massachusetts, BDEA was created to serve any Boston Public School student who is overage for high school, who has had trouble with attendance issues, has been held back in 8th grade, who feels they are not getting the attention in class that they need to succeed, or who has dropped out but is eager to come back to school to earn their diploma.",0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,1,1,1,0,1,1,0,1,0,1,0,NA,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-exclusionary school discipline and classroom management
Specifically supporting off track and disconnected learners",4,NA,NA,NA,NA,NA,NA,"Anonymous, Christensen Institute, Anonymous"
2019,25,"Bronx Arena High School",NA,"New York","New York","New York City Geographic District #8","http://www.bronxarena.org","360008506258","Public district school","Urban",0,0,1,153,0.01,0.01,0.97,0.37,0.59,0.01,0,0.03,NA,0.88,NA,NA,NA,NA,0,NA,NA,NA,"Mission: Bronx Arena High School's mission is to support and empower over-age, under-credited students to achieve academic success so they can earn a high school diploma and graduate prepared to enter college, post-secondary training, or a career path that matches their personal and professional goals and aspirations. Bronx Arena's graduates will be self-motivated and confident allowing them to expand and express their own talents.  Vision: Bronx Arena High School is a collaboration between the New York City Department of Education, and SCO Family of Service. As partners, we understand the interdependent relationship between personalized learning communities and academic achievement, viewing both as essential to enabling all students to meet high standards and create productive futures for themselves. Individualizing, personalizing, and humanizing education, are the surest ways to academic engagement and success.  Our school is based on the belief that high quality student-teacher relationships coupled with student-centered learning and personalized educational experiences are the essential components of a successful 21st century educational community. A school that focuses on one of the essential components without building capacity in the other two risks alienating a portion of the student population.  We maintain that high quality instruction and learning are not substitutes for quality relationships between school staff and students. School staff must come to the table with effective, interpersonal, facilitation and group processing skills to develop positive supportive relationships with each student. Once a caring, supportive school culture is established, staff are able to build a high functioning, high performing group of learners. ",0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"reDesign, LLC, Springpoint, Anonymous"
2019,27,"Casco Bay High School","196 Allen Avenue","Portland","Maine","Portland Public Schools","","230993000603","Public district school","Urban",0,0,1,378,NA,0.04,0.31,0.21,0.05,0.02,NA,0.69,0.15,0.46,0.14,0,1,0,0,0,NA,NA,"A community of learners where the wonderful in each student is known and nurtured, where learning is catalyzed by student inquiry and academic adventure, and where every graduate is prepared for college, work, and citizenship.",0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,0,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"EL Education, Great Schools Partnership"
2019,28,"Center Line High School - Wall to Wall Academies",NA,"Center Line","Michigan","Center Line Public Schools","http://www.clps.org","260858004404","Public district school","Suburban",0,1,0,721,0,0.1,0.47,0.26,0.03,0.07,0,0.53,0.06,0.67,0.11,NA,1,NA,0,NA,NA,NA,"To create a place and a program that allows all students to prepare for a successful and satisfying life after high school.",0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,NA,NA,NA,NA,NA,NA,"EdTech Specialists, LLC"
2019,30,"Charles W. Eliot PreK-8th Grade School",NA,"Cleveland","Ohio","Cleveland Metropolitan School District","","390437800440","Public district school","Urban",0,0,1,270,0,0,0.97,0.95,0.01,0.01,0,0.03,0.01,0,0.29,NA,NA,NA,0,NA,NA,NA,"Our mission is to provide a space where students are free to explore, discover, create, and take charge of their own learning.",NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"student-driven, student autonomy,",4,NA,NA,NA,NA,NA,NA,"Building Blocks Education"
2019,32,"Charlotte Lab School","2045 Suttle Avenue","Charlotte","North Carolina","Charlotte-Mecklenberg Schools","http://www.charlottelabschool.org/","370039103375","Public charter school","Urban",0,0,1,404,0,0.02,0.33,0.13,0.07,0.11,0,0.67,0.01,0.01,0.04,0,0,0,0,0,NA,NA,"Diverse by design, Charlotte Lab School's mission is to use the community as our classroom to provide personalized, engaging, and authentic learning experiences designed to prepare students for lifelong wellness and success in college and a global workplace.",0,0,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lab school, real world, authentic",3,NA,NA,NA,NA,NA,NA,"digiLEARN"
2019,33,"Chastain Road Elementary",NA,"Liberty","South Carolina","Pickens County School District","","450333001565","Public district school","Rural",1,0,0,577,0,0.01,0.17,0.04,0.08,0.04,0,0.83,0.03,1,0.14,NA,NA,NA,0,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"South Carolina Department of Education - Office of Personalized Learning"
2019,34,"Childersburg Middle School",NA,"Childersburg","Alabama","Talladega County Schools","http://cms.tcboe.org","010318001756","Public district school","Rural",1,0,0,370,0,0,0.56,0.52,0.02,0.01,0,0.44,0,0.81,0.08,NA,NA,NA,0,NA,NA,NA,"To facilitate opportunities which inspire, empower, and equip students to direct their own future as leaders in the 21st century",0,1,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEAM, technology integration",4,NA,NA,NA,NA,NA,NA,"Center for Teaching Quality (CTQ)"
2019,35,"CICS West Belden","2245 N Mcvicker Ave","Chicago","Illinois","Chicago International Charter Schools, operated by Distinctive Schools","","170993006475","Public charter school","Urban",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,"The Mission of CICS West Belden, in partnership with families and the community, is to motivate, challenge, and empower today's students through personalized innovation and choice so that they will achieve success tomorrow.",0,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,NA,NA,NA,NA,NA,NA,"Next Gen Learning Challenges"
2019,36,"Cisco Elementary",NA,"Cisco","Texas","Cisco ISD","","481407000888","Public district school","Rural",1,0,0,418,0,0.01,0.2,0.01,0.15,0.02,0,0.8,0.02,0.59,0.1,NA,NA,NA,0,NA,NA,NA,"For years Cisco Elementary has had the purpose of developing """"cooperative lifelong learners"""" in an educationally conducive environment; this statement has taken on new life with the instructional redesign toward blended learning since 2016. Today we strive to identify each student's educational target zone and meet them where they are to advance them to the highest possible achievement levels for them. A culture around data has been developed and is emphasized with both students and teachers. Additionally we strive to give the students choice in learning and to engage them in a way that fosters their educational ownership. ",0,1,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"Anonymous"
