Nomination ID,SurveyName,Canopy School ID,Governance Descriptor (from Nominations) (from Official School Name)
Nominator_2024-10_Transcend_,Nominator_2024-10,,
Nominator_2023-11_Transcend_,Nominator_2023-11,,
Nominator_2019-03_Michigan Virtual_A2 Virtual+ Academy,Nominator_2019-03,1,Public district school
Nominator_2019-03_Virginia Department of Education_Academies of Hampton,Nominator_2019-03,2,
Nominator_2019-03_NewSchools Venture Fund_The Academy of Advanced Learning,Nominator_2019-03,3,"Public charter school, Public charter school, Public charter school"
"Nominator_2022-11_NewSchools Venture Fund_The Academy of Advanced Learning, Academy of Advanced Learning",Nominator_2022-11,"3, 687","Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Public Impact_Albemarle Road Elementary School,Nominator_2019-03,4,Public district school
Nominator_2019-03_[Closed] EdTech Specialists_Alpena Career Tech Education Center,Nominator_2019-03,5,
Nominator_2019-03_EL Education_Amana Academy,Nominator_2019-03,6,Public charter school
Nominator_2021-12_Mastery Transcript Consortium_American Academy of Innovation,Nominator_2021-12,7,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Mastery Transcript Consortium_American Academy of Innovation,Nominator_2023-11,7,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Mastery Transcript Consortium_American Academy of Innovation,Nominator_2024-10,7,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Utah State Board of Education_American Academy of Innovation,Nominator_2019-03,7,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_ReSchool Colorado_Anastasis Academy,Nominator_2019-03,8,Independent (private) school
Nominator_2019-03_Michigan Department of Education_Armada High School,Nominator_2019-03,9,Public district school
Nominator_2019-03_Throughline Learning_Asa Messer Elementary School,Nominator_2019-03,10,
Nominator_2019-03_Moonshot EdVentures_Aspen Academy,Nominator_2019-03,11,Independent (private) school
Nominator_2020-08_Moonshot EdVentures_Aspen Academy,Nominator_2020-08,11,Independent (private) school
Nominator_2019-03_Bellwether Education Partners_Aspire Richmond Tech,Nominator_2019-03,12,
Nominator_2019-03_Bellwether Education Partners_Atlanta Speech School,Nominator_2019-03,13,
Nominator_2019-03_Building Blocks Education_Austin Road Elementary School,Nominator_2019-03,14,
Nominator_2019-03_Center for Teaching Quality_Avalon School,Nominator_2019-03,15,Public charter school
Nominator_2019-03_Education Evolving_Avalon School,Nominator_2019-03,15,Public charter school
Nominator_2019-03_Education Reimagined_Avalon School,Nominator_2019-03,15,Public charter school
Nominator_2019-03_EdVisions_Avalon School,Nominator_2019-03,15,Public charter school
Nominator_2025-10_FullScale Learning_Avanti High School,Nominator_2025-10,16,"Public district school, Public district school"
Nominator_2019-03_Populace_Avanti High School,Nominator_2019-03,16,"Public district school, Public district school"
Nominator_2019-03_PBLWorks_Aveson Global Leadership Academy,Nominator_2019-03,17,
Nominator_2020-11_Springpoint Schools_Aveson Global Leadership Academy,Nominator_2020-11,17,
Nominator_2019-03_Educurious_Barbara Morgan STEM Academy,Nominator_2019-03,18,
Nominator_2019-03_Throughline Learning_Barrington Middle School,Nominator_2019-03,19,Public district school
Nominator_2019-03_[Closed] EdTech Specialists_Bedford Homeschool Partnership,Nominator_2019-03,20,
Nominator_2019-03_[Closed] EdTech Specialists_Berrien Springs Virtual School,Nominator_2019-03,21,Public district school
Nominator_2022-11_Barr Foundation_Blackstone Academy Charter School,Nominator_2022-11,22,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Center for Artistry and Scholarship_Blackstone Academy Charter School,Nominator_2019-03,22,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Great Schools Partnership_Blackstone Academy Charter School,Nominator_2019-03,22,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-11_Great Schools Partnership_Blackstone Academy Charter School,Nominator_2020-11,22,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Global Teaching Project_Booneville High School,Nominator_2019-03,23,Public district school
Nominator_2019-03_Clayton Christensen Institute_Boston Day and Evening Academy,Nominator_2019-03,24,Public charter school
Nominator_2020-08_Education Evolving_Boston Day and Evening Academy,Nominator_2020-08,24,Public charter school
Nominator_2019-03_Education First_Boston Day and Evening Academy,Nominator_2019-03,24,Public charter school
Nominator_2019-03_Jobs for the Future_Boston Day and Evening Academy,Nominator_2019-03,24,Public charter school
Nominator_2019-03_Overdeck Family Foundation_Bronx Arena High School,Nominator_2019-03,25,Public district school
Nominator_2019-03_reDesign_Bronx Arena High School,Nominator_2019-03,25,Public district school
Nominator_2019-03_Springpoint Schools_Bronx Arena High School,Nominator_2019-03,25,Public district school
Nominator_2019-03_Colorado Education Initiative_Canon City High School,Nominator_2019-03,26,"Public district school, Public district school, Public district school, Public district school"
Nominator_2021-12_Colorado Education Initiative_Canon City High School,Nominator_2021-12,26,"Public district school, Public district school, Public district school, Public district school"
Nominator_2020-08_Colorado Education Initiative_Canon City High School,Nominator_2020-08,26,"Public district school, Public district school, Public district school, Public district school"
Nominator_2020-08_iLearn Collaborative_Canon City High School,Nominator_2020-08,26,"Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_EL Education_Casco Bay High School,Nominator_2019-03,27,Public district school
Nominator_2019-03_Great Schools Partnership_Casco Bay High School,Nominator_2019-03,27,Public district school
Nominator_2020-11_Great Schools Partnership_Casco Bay High School,Nominator_2020-11,27,Public district school
Nominator_2020-11_Next Generation Learning Challenges_Casco Bay High School,Nominator_2020-11,27,Public district school
Nominator_2019-03_[Closed] EdTech Specialists_Center Line High School - Wall to Wall Academies,Nominator_2019-03,28,"Public district school, Public district school"
Nominator_2022-11_Michigan Department of Education_Center Line High School - Wall to Wall Academies,Nominator_2022-11,28,"Public district school, Public district school"
Nominator_2019-03_Throughline Learning_Central Elementary School,Nominator_2019-03,29,
Nominator_2019-03_Building Blocks Education_Charles W. Eliot PreK-8th Grade School,Nominator_2019-03,30,Public district school
Nominator_2019-03_Georgia Governor's Office of Student Achievement_Charles R. Drew Charter School,Nominator_2019-03,31,
Nominator_2023-11_A Revolution in Education_Charlotte Lab School,Nominator_2023-11,32,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Digital Learning Institute_Charlotte Lab School,Nominator_2019-03,32,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_Charlotte Lab School,Nominator_2022-11,32,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_Charlotte Lab School,Nominator_2024-10,32,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_South Carolina Department of Education Office of Personalized Learning_Chastain Road Elementary,Nominator_2019-03,33,Public district school
Nominator_2019-03_Center for Teaching Quality_Childersburg Middle School,Nominator_2019-03,34,Public district school
Nominator_2019-03_Next Generation Learning Challenges_CICS West Belden,Nominator_2019-03,35,Public charter school
Nominator_2019-03_CA Group Consulting_Cisco Elementary,Nominator_2019-03,36,Public district school
Nominator_2019-03_Charter School Growth Fund_Citizens of the World Hollywood,Nominator_2019-03,37,"Public charter school, Public charter school"
Nominator_2025-10_Diverse Charter Schools Coalition_Citizens of the World Hollywood,Nominator_2025-10,37,"Public charter school, Public charter school"
Nominator_2019-03_Education Reimagined_City Garden Montessori School,Nominator_2019-03,38,Public charter school
Nominator_2019-03_Arkansas Team Digital_Clarendon High School,Nominator_2019-03,39,Public district school
Nominator_2019-03_Global Teaching Project_Coahoma Early College High School,Nominator_2019-03,40,Public district school
Nominator_2019-03_Virginia Department of Education_CodeRVA Regional High School,Nominator_2019-03,41,Public district school
Nominator_2019-03_228 Accelerator_Columbia Heights Educational Campus (CHEC),Nominator_2019-03,42,Public district school
Nominator_2019-03_Idaho State Department of Education - Idaho Mastery Education Network_Columbia High School,Nominator_2019-03,43,
Nominator_2019-03_Idaho State Department of Education - Idaho Mastery Education Network_Columbia High School,Nominator_2019-03,43,
Nominator_2019-03_Barr Foundation_Common Ground High School,Nominator_2019-03,44,Public charter school
Nominator_2019-03_EdSurge_Community Lab School,Nominator_2019-03,45,Public charter school
Nominator_2019-03_Overdeck Family Foundation_Community Lab School,Nominator_2019-03,45,Public charter school
Nominator_2019-03_Education First_Compass Academy,Nominator_2019-03,46,"Public charter school, Public charter school"
Nominator_2023-11_Transcend_Compass Academy,Nominator_2023-11,46,"Public charter school, Public charter school"
"Nominator_2019-03_Overdeck Family Foundation_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2019-03,47,"Public district school, Public district school, Public district school, Public district school, Public district school"
"Nominator_2019-03_The Learning Accelerator_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2019-03,47,"Public district school, Public district school, Public district school, Public district school, Public district school"
"Nominator_2020-11_The Learning Accelerator_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2020-11,47,"Public district school, Public district school, Public district school, Public district school, Public district school"
"Nominator_2019-03_TNTP_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2019-03,47,"Public district school, Public district school, Public district school, Public district school, Public district school"
"Nominator_2024-10_Transcend_""Leaders of Excellence, Advocacy, and Discovery (LEAD)""",Nominator_2024-10,47,"Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_Center for Artistry and Scholarship_Conservatory Lab Charter School,Nominator_2019-03,48,Public charter school
Nominator_2021-12_Tennessee Charter School Center_Crosstown High,Nominator_2021-12,49,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_Crosstown High,Nominator_2024-10,49,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_XQ Institute_Crosstown High,Nominator_2019-03,49,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_The Learning Accelerator_Dan D. Rogers Elementary School,Nominator_2019-03,50,"Public district school, Public district school"
Nominator_2021-12_The Learning Accelerator_Dan D. Rogers Elementary School,Nominator_2021-12,50,"Public district school, Public district school"
Nominator_2019-03__Da Vinci Extension,Nominator_2019-03,51,
Nominator_2019-03_ReSchool Colorado_Da Vinci Extension,Nominator_2019-03,51,
Nominator_2019-03_Tennessee SCORE_DB EXCEL (Kingsport),Nominator_2019-03,52,"Public district school, Public district school"
Nominator_2024-10_Transcend_DB EXCEL (Kingsport),Nominator_2024-10,52,"Public district school, Public district school"
Nominator_2019-03_Digital Promise_DC Bilingual Public Charter School,Nominator_2019-03,53,"Public charter school, Public charter school, Public charter school"
Nominator_2019-03_National Charter Collaborative_DC Bilingual Public Charter School,Nominator_2019-03,53,"Public charter school, Public charter school, Public charter school"
Nominator_2022-11_The Center for Learner Equity_DC Bilingual Public Charter School,Nominator_2022-11,53,"Public charter school, Public charter school, Public charter school"
Nominator_2019-03_PBLWorks_[Non-Operating School] Denver School of Innovation and Sustainable Design,Nominator_2019-03,54,"Public district school, Public district school"
Nominator_2024-10_Transcend_[Non-Operating School] Denver School of Innovation and Sustainable Design,Nominator_2024-10,54,"Public district school, Public district school"
Nominator_2019-03_CA Group Consulting_Derry Elementary,Nominator_2019-03,55,
Nominator_2019-03_Next Generation Learning Challenges_Design Tech High School,Nominator_2019-03,56,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Transcend_Design Tech High School,Nominator_2023-11,56,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_Design Tech High School,Nominator_2024-10,56,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_The Learning Accelerator_Design39Campus,Nominator_2019-03,57,"Public district school, Public district school, Public district school, Public district school"
Nominator_2021-12_The Learning Accelerator_Design39Campus,Nominator_2021-12,57,"Public district school, Public district school, Public district school, Public district school"
Nominator_2022-11_Transcend_Design39Campus,Nominator_2022-11,57,"Public district school, Public district school, Public district school, Public district school"
Nominator_2022-11_NewSchools Venture Fund_Digital Pioneers Academy,Nominator_2022-11,58,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Philanthropy Roundtable_Digital Pioneers Academy,Nominator_2019-03,58,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-11_The Center for Learner Equity_Digital Pioneers Academy,Nominator_2020-11,58,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Transcend_Digital Pioneers Academy,Nominator_2022-11,58,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Power My Learning_Du Bois Integrity Academy,Nominator_2019-03,59,Public charter school
Nominator_2019-03_Utah State Board of Education_Duchesne High School,Nominator_2019-03,60,
Nominator_2019-03_Next Generation Learning Challenges_e3 Civic High,Nominator_2019-03,61,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_Next Generation Learning Challenges_e3 Civic High,Nominator_2020-08,61,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_e3 Civic High,Nominator_2024-10,61,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_Transcend_e3 Civic High,Nominator_2025-10,61,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Tennessee SCORE_Early Technical College at Tennessee College of Applied Technology,Nominator_2019-03,62,Public district school
Nominator_2019-03_NewSchools Venture Fund_East College Prep,Nominator_2019-03,63,"Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_East College Prep,Nominator_2022-11,63,"Public charter school, Public charter school"
Nominator_2019-03_Charter School Growth Fund_USC Hybrid High College Prep,Nominator_2019-03,64,"Public charter school, Public charter school, Public charter school"
Nominator_2020-08_Transcend_USC Hybrid High College Prep,Nominator_2020-08,64,"Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_USC Hybrid High College Prep,Nominator_2024-10,64,"Public charter school, Public charter school, Public charter school"
Nominator_2019-03_CA Group Consulting_Elmer G Bondy Intermediate,Nominator_2019-03,65,Public district school
Nominator_2019-03_Digital Promise_Ember Charter School for Mindful Education; Innovation; and Transformation,Nominator_2019-03,66,Public district school
Nominator_2019-03_National Charter Collaborative_Ember Charter School for Mindful Education; Innovation; and Transformation,Nominator_2019-03,66,Public district school
Nominator_2019-03_Moonshot EdVentures_[Non-Operating School] Empower Community High School,Nominator_2019-03,67,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_Moonshot EdVentures_[Non-Operating School] Empower Community High School,Nominator_2020-08,67,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Moonshot EdVentures_[Non-Operating School] Empower Community High School,Nominator_2022-11,67,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_[Non-Operating School] Empower Community High School,Nominator_2022-11,67,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_ReSchool Colorado_[Non-Operating School] Empower Community High School,Nominator_2020-08,67,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_Teach for America_[Non-Operating School] Empower Community High School,Nominator_2020-08,67,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_National Center for Learning Disabilities_Envision Academy,Nominator_2019-03,68,
Nominator_2019-03_The Learning Accelerator_EPiC Elementary,Nominator_2019-03,69,Public district school
Nominator_2019-03_National Center for Learning Disabilities_Evergreen Community Charter School,Nominator_2019-03,70,Public charter school
Nominator_2019-03_Big Picture Learning_Fannie Lou Hamer Freedom High School,Nominator_2019-03,71,"Public district school, Public district school, Public district school"
Nominator_2020-08_Big Picture Learning_Fannie Lou Hamer Freedom High School,Nominator_2020-08,71,"Public district school, Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Fannie Lou Hamer Freedom High School,Nominator_2022-11,71,"Public district school, Public district school, Public district school"
Nominator_2019-03_Utah State Board of Education_Farmington High School (UT),Nominator_2019-03,72,Public district school
Nominator_2019-03_Connecticut Center for School Change_Farmington High School (CT),Nominator_2019-03,73,Public district school
Nominator_2019-03_Educurious_Strive Prep - Federal,Nominator_2019-03,74,
Nominator_2019-03_Michigan Department of Education_Oakland FlexTech High School,Nominator_2019-03,75,Public charter school
Nominator_2020-11_Aurora Institute_Flushing International High School,Nominator_2020-11,76,"Public district school, Public district school, Public district school"
Nominator_2019-03_Springpoint Schools_Flushing International High School,Nominator_2019-03,76,"Public district school, Public district school, Public district school"
Nominator_2024-10_Transcend_Flushing International High School,Nominator_2024-10,76,"Public district school, Public district school, Public district school"
Nominator_2019-03_Connecticut Center for School Change_Francis T Maloney High School,Nominator_2019-03,77,Public district school
Nominator_2023-11_Aurora Institute_Francis W. Parker Charter Essential School,Nominator_2023-11,78,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Bellwether Education Partners_Francis W. Parker Charter Essential School,Nominator_2024-10,78,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Center for Secondary School Redesign_Francis W. Parker Charter Essential School,Nominator_2019-03,78,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Center on Reinventing Public Education_Francis W. Parker Charter Essential School,Nominator_2024-10,78,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_National Center for Learning Disabilities_Francis W. Parker Charter Essential School,Nominator_2020-08,78,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_[Closed] Competency Collaborative_Frank McCourt High School,Nominator_2019-03,79,Public district school
Nominator_2019-03_Springpoint Schools_Fred Tjardes School of Innovation,Nominator_2019-03,80,Public district school
Nominator_2019-03_Bluum_Future Public School,Nominator_2019-03,81,"Public charter school, Public charter school, Public charter school"
Nominator_2020-11_NewSchools Venture Fund_Future Public School,Nominator_2020-11,81,"Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_Future Public School,Nominator_2022-11,81,"Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Throughline Learning_Garden City,Nominator_2019-03,82,
Nominator_2019-03_Charter School Growth Fund_Gem Prep Nampa,Nominator_2019-03,83,"Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_Gem Prep Nampa,Nominator_2022-11,83,"Public charter school, Public charter school"
Nominator_2019-03_Big Picture Learning_Gibson Ek High School,Nominator_2019-03,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2020-08_Big Picture Learning_Gibson Ek High School,Nominator_2020-08,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2022-11_Big Picture Learning_Gibson Ek High School,Nominator_2022-11,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2021-12_Mastery Transcript Consortium_Gibson Ek High School,Nominator_2021-12,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2022-11_Mastery Transcript Consortium_Gibson Ek High School,Nominator_2022-11,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2023-11_Mastery Transcript Consortium_Gibson Ek High School,Nominator_2023-11,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2024-10_Mastery Transcript Consortium_Gibson Ek High School,Nominator_2024-10,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2020-08_Transcend_Gibson Ek High School,Nominator_2020-08,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2024-10_Transcend_Gibson Ek High School,Nominator_2024-10,84,"Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public district school, Public district school, Public charter school, Public district school"
Nominator_2019-03_Colorado Education Initiative_Girls Athletic Leadership Middle School,Nominator_2019-03,85,Public charter school
Nominator_2019-03_Virginia Department of Education_Goochland High School,Nominator_2019-03,86,
Nominator_2019-03_Educurious_Green Valley Ranch,Nominator_2019-03,87,
Nominator_2019-03_NewSchools Venture Fund_Grow Academy Shafter,Nominator_2019-03,88,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2021-12_NewSchools Venture Fund_Grow Academy Shafter,Nominator_2021-12,88,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_Grow Academy Shafter,Nominator_2022-11,88,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Illinois State Board of Education_Gwendolyn Brooks College Preparatory Academy,Nominator_2019-03,89,Public district school
Nominator_2019-03_Tennessee SCORE_Hamilton County Collegiate High at Chattanooga State,Nominator_2019-03,90,Public district school
Nominator_2019-03_TNTP_Mott Haven Academy,Nominator_2019-03,91,Public charter school
Nominator_2019-03_National Center for Learning Disabilities_High Tech High,Nominator_2019-03,92,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2021-12_Transcend_High Tech High,Nominator_2021-12,92,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_High Tech High,Nominator_2024-10,92,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Transcend_High Tech High,Nominator_2023-11,92,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Digital Learning Institute_Highfalls Elementary School,Nominator_2019-03,93,Public district school
Nominator_2019-03_Big Picture Learning_Highline Big Picture,Nominator_2019-03,94,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2020-08_Big Picture Learning_Highline Big Picture,Nominator_2020-08,94,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Highline Big Picture,Nominator_2022-11,94,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2025-10_FullScale Learning_Highline Big Picture,Nominator_2025-10,94,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_Global Teaching Project_Holmes Central High School,Nominator_2019-03,95,Public district school
Nominator_2019-03_Barr Foundation_Holyoke High School,Nominator_2019-03,96,
Nominator_2019-03_[Closed] EdTech Specialists_Horizons Alternative Education School,Nominator_2019-03,97,Public district school
Nominator_2020-11_MiCoOp_Horizons Alternative Education School,Nominator_2020-11,97,Public district school
Nominator_2019-03_228 Accelerator_Howard Middle School for Math and Science,Nominator_2019-03,98,Public charter school
Nominator_2019-03_Bellwether Education Partners_IDEA Toros College Preparatory,Nominator_2019-03,99,
Nominator_2019-03_Center for Secondary School Redesign_Urban Discovery High School,Nominator_2019-03,100,Public charter school
